activityLevel,elapsed_min,lowestRespirationValue,highestRespirationValue,avgWakingRespirationValue,avgSleepRespirationValue,averageRespirationValue_num,averageSpO2HRSleep_num,averageSpO2Value_num,avgSleepStress_num,awakeCount_num,awakeSleepSeconds_num,deepSleepSeconds_num,highestRespirationValue_num,highestSpO2Value_num,lightSleepSeconds_num,lowestRespirationValue_num,lowestSpO2Value_num,remSleepSeconds_num,sleepEndTimestampGMT_dt,sleepStartTimestampGMT_dt,sleepTimeSeconds_num,tot_sleep_hours,Prin1,Prin2,rownum,CLUSTER
-1.293355847,-0.265428458,0.1735639351,-0.500613843,-1.169985294,-1.722387409,-1.722387409,-1.162617751,-0.259306909,-0.966516328,-0.029493746,-0.571441118,-0.196918492,-3.507913133,0.4934776179,-0.026396871,0.3176762987,-0.364970073,-0.011651156,-1.675468292,-1.674528253,-0.099349281,-0.258884773,-3.963329594,1.1910065041,1,3
-0.381250418,1.4477585453,0.1735639351,-0.500613843,-1.169985294,-1.722387409,-1.722387409,-1.162617751,-0.259306909,-0.966516328,-0.029493746,-0.571441118,-0.196918492,-3.507913133,0.4934776179,-0.026396871,0.3176762987,-0.364970073,-0.011651156,-1.675468292,-1.674528253,-0.099349281,-0.258884773,-3.947317349,1.3795424822,2,3
0.5308550119,-0.587910717,0.1735639351,-0.500613843,-1.169985294,-1.722387409,-1.722387409,-1.162617751,-0.259306909,-0.966516328,-0.029493746,-0.571441118,-0.196918492,-3.507913133,0.4934776179,-0.026396871,0.3176762987,-0.364970073,-0.011651156,-1.675468292,-1.674528253,-0.099349281,-0.258884773,-3.959194643,1.204157412,3,3
1.4429604415,-1.041401394,0.1735639351,-0.500613843,-1.169985294,-1.722387409,-1.722387409,-1.162617751,-0.259306909,-0.966516328,-0.029493746,-0.571441118,-0.196918492,-3.507913133,0.4934776179,-0.026396871,0.3176762987,-0.364970073,-0.011651156,-1.675468292,-1.674528253,-0.099349281,-0.258884773,-3.959301351,1.1823626767,4,3
-1.293355847,0.0973640841,-0.919888856,-0.500613843,0.0584992647,1.1206800171,1.1206800171,0.1216513938,-0.966045348,0.1365729594,-0.029493746,0.2327463079,1.2045809021,0.5846521888,-0.851490792,0.1194805739,0.3176762987,-1.665760844,-1.636127864,-1.60976599,-1.609785192,-0.085387465,-0.00877191,0.716248957,-0.06408883,5,1
-0.381250418,1.5485342514,-0.919888856,-0.500613843,0.0584992647,1.1206800171,1.1206800171,0.1216513938,-0.966045348,0.1365729594,-0.029493746,0.2327463079,1.2045809021,0.5846521888,-0.851490792,0.1194805739,0.3176762987,-1.665760844,-1.636127864,-1.60976599,-1.609785192,-0.085387465,-0.00877191,0.7303119333,0.0990118056,6,1
0.5308550119,-1.041401394,-0.919888856,-0.500613843,0.0584992647,1.1206800171,1.1206800171,0.1216513938,-0.966045348,0.1365729594,-0.029493746,0.2327463079,1.2045809021,0.5846521888,-0.851490792,0.1194805739,0.3176762987,-1.665760844,-1.636127864,-1.60976599,-1.609785192,-0.085387465,-0.00877191,0.7143111861,-0.130178796,7,1
1.4429604415,-0.839849982,-0.919888856,-0.500613843,0.0584992647,1.1206800171,1.1206800171,0.1216513938,-0.966045348,0.1365729594,-0.029493746,0.2327463079,1.2045809021,0.5846521888,-0.851490792,0.1194805739,0.3176762987,-1.665760844,-1.636127864,-1.60976599,-1.609785192,-0.085387465,-0.00877191,0.7190776495,-0.088385176,8,1
-1.293355847,-0.849927553,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,,,0.1365729594,-0.95854675,-0.893116088,-2.454889739,-0.584652189,,0.6446393754,0.9922922588,,0.746437975,-1.544046907,-1.543119909,0.0174645825,-0.251738692,,,9,1
-0.381250418,1.9113267932,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,,,0.1365729594,-0.95854675,-0.893116088,-2.454889739,-0.584652189,,0.6446393754,0.9922922588,,0.746437975,-1.544046907,-1.543119909,0.0174645825,-0.251738692,,,10,1
0.5308550119,-0.382664196,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,,,0.1365729594,-0.95854675,-0.893116088,-2.454889739,-0.584652189,,0.6446393754,0.9922922588,,0.746437975,-1.544046907,-1.543119909,0.0174645825,-0.251738692,,,11,1
-1.293355847,-0.023566763,-0.919888856,-0.500613843,1.2869838238,-0.300853696,-0.300853696,,,-0.084044898,-0.95854675,-0.852906717,0.7374144373,-0.584652189,,0.0611295959,0.3176762987,,2.0460193418,-1.475264559,-1.477980199,1.115328745,0.6986901896,,,12,3
-0.381250418,1.508223969,-0.919888856,-0.500613843,1.2869838238,-0.300853696,-0.300853696,,,-0.084044898,-0.95854675,-0.852906717,0.7374144373,-0.584652189,,0.0611295959,0.3176762987,,2.0460193418,-1.475264559,-1.477980199,1.115328745,0.6986901896,,,13,3
0.5308550119,-0.013489193,-0.919888856,-0.500613843,1.2869838238,-0.300853696,-0.300853696,,,-0.084044898,-0.95854675,-0.852906717,0.7374144373,-0.584652189,,0.0611295959,0.3176762987,,2.0460193418,-1.475264559,-1.477980199,1.115328745,0.6986901896,,,14,3
1.4429604415,-1.111944389,-0.919888856,-0.500613843,1.2869838238,-0.300853696,-0.300853696,,,-0.084044898,-0.95854675,-0.852906717,0.7374144373,-0.584652189,,0.0611295959,0.3176762987,,2.0460193418,-1.475264559,-1.477980199,1.115328745,0.6986901896,,,15,3
