calendarDate,activityLevel,elapsed_min,activityLabel,lowestRespirationValue,highestRespirationValue,avgWakingRespirationValue,avgSleepRespirationValue,averageRespirationValue_num,averageSpO2HRSleep_num,averageSpO2Value_num,avgSleepStress_num,awakeCount_num,awakeSleepSeconds_num,deepSleepSeconds_num,highestRespirationValue_num,highestSpO2Value_num,lightSleepSeconds_num,lowestRespirationValue_num,lowestSpO2Value_num,remSleepSeconds_num,sleepEndTimestampGMT_dt,sleepStartTimestampGMT_dt,sleepTimeSeconds_num,tot_sleep_hours
2025-08-20,0,85,Deep,8,24,16,13,13,58,95,15,1,480,5100,15,100,15300,11,85,3180,2071295080,2071271020,23580,6.68
2025-08-20,1,255,Light,8,24,16,13,13,58,95,15,1,480,5100,15,100,15300,11,85,3180,2071295080,2071271020,23580,6.68
2025-08-20,2,53,REM,8,24,16,13,13,58,95,15,1,480,5100,15,100,15300,11,85,3180,2071295080,2071271020,23580,6.68
2025-08-20,3,8,Awake,8,24,16,13,13,58,95,15,1,480,5100,15,100,15300,11,85,3180,2071295080,2071271020,23580,6.68
2025-08-21,0,121,Deep,7,24,17,17,17,64,94,25,1,1680,7260,22,99,15900,11,81,480,2071381217,2071355897,23640,7.03
2025-08-21,1,265,Light,7,24,17,17,17,64,94,25,1,1680,7260,22,99,15900,11,81,480,2071381217,2071355897,23640,7.03
2025-08-21,2,8,REM,7,24,17,17,17,64,94,25,1,1680,7260,22,99,15900,11,81,480,2071381217,2071355897,23640,7.03
2025-08-21,3,28,Awake,7,24,17,17,17,64,94,25,1,1680,7260,22,99,15900,11,81,480,2071381217,2071355897,23640,7.03
2025-08-22,0,27,Deep,9,25,17,16,16,,,25,0,0,1620,20,,18060,12,,4440,2071467376,2071443294,24082,6.69
2025-08-22,1,301,Light,9,25,17,16,16,,,25,0,0,1620,20,,18060,12,,4440,2071467376,2071443294,24082,6.69
2025-08-22,2,73.366666667,REM,9,25,17,16,16,,,25,0,0,1620,20,,18060,12,,4440,2071467376,2071443294,24082,6.69
2025-08-23,0,109,Deep,7,24,18,15,15,,,23,0,60,6540,20,,15660,11,,6600,2071557551,2071528691,28800,8.02
2025-08-23,1,261,Light,7,24,18,15,15,,,23,0,60,6540,20,,15660,11,,6600,2071557551,2071528691,28800,8.02
2025-08-23,2,110,REM,7,24,18,15,15,,,23,0,60,6540,20,,15660,11,,6600,2071557551,2071528691,28800,8.02
2025-08-23,3,1,Awake,7,24,18,15,15,,,23,0,60,6540,20,,15660,11,,6600,2071557551,2071528691,28800,8.02
2025-08-24,0,51,Deep,9,24,18,16,16,,,36,1,1080,3060,20,,16620,12,,3540,2071641339,2071617039,23220,6.75
2025-08-24,1,277,Light,9,24,18,16,16,,,36,1,1080,3060,20,,16620,12,,3540,2071641339,2071617039,23220,6.75
2025-08-24,2,59,REM,9,24,18,16,16,,,36,1,1080,3060,20,,16620,12,,3540,2071641339,2071617039,23220,6.75
2025-08-24,3,18,Awake,9,24,18,16,16,,,36,1,1080,3060,20,,16620,12,,3540,2071641339,2071617039,23220,6.75
2025-08-25,0,64,Deep,8,25,17,16,16,,,22,0,60,3840,22,,11640,13,,4020,2071721898,2071702338,19500,5.43
2025-08-25,1,194,Light,8,25,17,16,16,,,22,0,60,3840,22,,11640,13,,4020,2071721898,2071702338,19500,5.43
2025-08-25,2,67,REM,8,25,17,16,16,,,22,0,60,3840,22,,11640,13,,4020,2071721898,2071702338,19500,5.43
2025-08-25,3,1,Awake,8,25,17,16,16,,,22,0,60,3840,22,,11640,13,,4020,2071721898,2071702338,19500,5.43
2025-08-26,0,107,Deep,9,25,17,15,15,,,20,1,1740,6420,23,,11460,11,,1620,2071806463,2071785269,19454,5.89
2025-08-26,1,190.23333333,Light,9,25,17,15,15,,,20,1,1740,6420,23,,11460,11,,1620,2071806463,2071785269,19454,5.89
2025-08-26,2,27,REM,9,25,17,15,15,,,20,1,1740,6420,23,,11460,11,,1620,2071806463,2071785269,19454,5.89
2025-08-26,3,29,Awake,9,25,17,15,15,,,20,1,1740,6420,23,,11460,11,,1620,2071806463,2071785269,19454,5.89
2025-08-27,0,92,Deep,5,25,15,14,14,,,15,4,3300,5520,21,,19140,7,,3060,2071910104,2071879084,27720,8.62
2025-08-27,1,319,Light,5,25,15,14,14,,,15,4,3300,5520,21,,19140,7,,3060,2071910104,2071879084,27720,8.62
2025-08-27,2,51,REM,5,25,15,14,14,,,15,4,3300,5520,21,,19140,7,,3060,2071910104,2071879084,27720,8.62
2025-08-27,3,55,Awake,5,25,15,14,14,,,15,4,3300,5520,21,,19140,7,,3060,2071910104,2071879084,27720,8.62
2025-08-28,0,82,Deep,7,25,17,15,15,,,17,2,1920,4920,19,,14580,7,,1500,2071982424,2071959504,21000,6.37
2025-08-28,1,243,Light,7,25,17,15,15,,,17,2,1920,4920,19,,14580,7,,1500,2071982424,2071959504,21000,6.37
2025-08-28,2,25,REM,7,25,17,15,15,,,17,2,1920,4920,19,,14580,7,,1500,2071982424,2071959504,21000,6.37
2025-08-28,3,32,Awake,7,25,17,15,15,,,17,2,1920,4920,19,,14580,7,,1500,2071982424,2071959504,21000,6.37
2025-08-30,0,104,Deep,7,24,17,16,16,,,18,1,540,6240,21,,12120,10,,5760,2072164034,2072139374,24120,6.85
2025-08-30,1,202,Light,7,24,17,16,16,,,18,1,540,6240,21,,12120,10,,5760,2072164034,2072139374,24120,6.85
2025-08-30,2,96,REM,7,24,17,16,16,,,18,1,540,6240,21,,12120,10,,5760,2072164034,2072139374,24120,6.85
2025-08-30,3,9,Awake,7,24,17,16,16,,,18,1,540,6240,21,,12120,10,,5760,2072164034,2072139374,24120,6.85
2025-08-31,0,88,Deep,8,27,16,14,14,,,18,0,600,5280,19,,8640,10,,900,2072237935,2072222515,14820,4.28
2025-08-31,1,144,Light,8,27,16,14,14,,,18,0,600,5280,19,,8640,10,,900,2072237935,2072222515,14820,4.28
2025-08-31,2,15,REM,8,27,16,14,14,,,18,0,600,5280,19,,8640,10,,900,2072237935,2072222515,14820,4.28
2025-08-31,3,10,Awake,8,27,16,14,14,,,18,0,600,5280,19,,8640,10,,900,2072237935,2072222515,14820,4.28
2025-09-01,0,104,Deep,6,25,17,14,14,,,14,1,780,6240,19,,17340,9,,3120,2072334118,2072306638,26700,7.63
2025-09-01,1,289,Light,6,25,17,14,14,,,14,1,780,6240,19,,17340,9,,3120,2072334118,2072306638,26700,7.63
2025-09-01,2,52,REM,6,25,17,14,14,,,14,1,780,6240,19,,17340,9,,3120,2072334118,2072306638,26700,7.63
2025-09-01,3,13,Awake,6,25,17,14,14,,,14,1,780,6240,19,,17340,9,,3120,2072334118,2072306638,26700,7.63
2025-09-02,0,93,Deep,8,24,17,15,15,,,16,0,0,5580,21,,12240,11,,2940,2072402879,2072382119,20760,5.77
2025-09-02,1,204,Light,8,24,17,15,15,,,16,0,0,5580,21,,12240,11,,2940,2072402879,2072382119,20760,5.77
2025-09-02,2,49,REM,8,24,17,15,15,,,16,0,0,5580,21,,12240,11,,2940,2072402879,2072382119,20760,5.77
2025-09-03,0,97,Deep,9,24,18,15,15,,,22,0,300,5820,23,,22740,11,,4920,2072503934,2072470154,33480,9.38
2025-09-03,1,379,Light,9,24,18,15,15,,,22,0,300,5820,23,,22740,11,,4920,2072503934,2072470154,33480,9.38
2025-09-03,2,82,REM,9,24,18,15,15,,,22,0,300,5820,23,,22740,11,,4920,2072503934,2072470154,33480,9.38
2025-09-03,3,5,Awake,9,24,18,15,15,,,22,0,300,5820,23,,22740,11,,4920,2072503934,2072470154,33480,9.38
2025-09-04,0,65,Deep,8,26,18,16,16,,,31,4,6900,3900,23,,25740,10,,2760,2072591308,2072552015,32393,10.91
2025-09-04,1,428.88333333,Light,8,26,18,16,16,,,31,4,6900,3900,23,,25740,10,,2760,2072591308,2072552015,32393,10.91
2025-09-04,2,46,REM,8,26,18,16,16,,,31,4,6900,3900,23,,25740,10,,2760,2072591308,2072552015,32393,10.91
2025-09-04,3,115,Awake,8,26,18,16,16,,,31,4,6900,3900,23,,25740,10,,2760,2072591308,2072552015,32393,10.91
2025-09-05,0,68,Deep,8,24,17,14,14,62,94,20,0,60,4080,19,100,16320,11,87,4500,2072671196,2072646236,24900,6.93
2025-09-05,1,272,Light,8,24,17,14,14,62,94,20,0,60,4080,19,100,16320,11,87,4500,2072671196,2072646236,24900,6.93
2025-09-05,2,75,REM,8,24,17,14,14,62,94,20,0,60,4080,19,100,16320,11,87,4500,2072671196,2072646236,24900,6.93
2025-09-05,3,1,Awake,8,24,17,14,14,62,94,20,0,60,4080,19,100,16320,11,87,4500,2072671196,2072646236,24900,6.93
2025-09-06,0,63,Deep,7,24,17,14,14,59,95,21,1,900,3780,20,99,11640,11,87,5280,2072767385,2072745785,20700,6
2025-09-06,1,194,Light,7,24,17,14,14,59,95,21,1,900,3780,20,99,11640,11,87,5280,2072767385,2072745785,20700,6
2025-09-06,2,88,REM,7,24,17,14,14,59,95,21,1,900,3780,20,99,11640,11,87,5280,2072767385,2072745785,20700,6
2025-09-06,3,15,Awake,7,24,17,14,14,59,95,21,1,900,3780,20,99,11640,11,87,5280,2072767385,2072745785,20700,6
2025-09-07,0,79,Deep,9,24,17,15,15,66,96,37,1,4140,4740,20,100,20820,9,89,3120,2072849525,2072816705,28680,9.12
2025-09-07,1,347,Light,9,24,17,15,15,66,96,37,1,4140,4740,20,100,20820,9,89,3120,2072849525,2072816705,28680,9.12
2025-09-07,2,52,REM,9,24,17,15,15,66,96,37,1,4140,4740,20,100,20820,9,89,3120,2072849525,2072816705,28680,9.12
2025-09-07,3,69,Awake,9,24,17,15,15,66,96,37,1,4140,4740,20,100,20820,9,89,3120,2072849525,2072816705,28680,9.12
2025-09-08,0,67,Deep,8,23,17,13,13,59,97,12,0,300,4020,20,100,10560,8,89,2640,2072926816,2072909321,17195,4.86
2025-09-08,1,176,Light,8,23,17,13,13,59,97,12,0,300,4020,20,100,10560,8,89,2640,2072926816,2072909321,17195,4.86
2025-09-08,2,43.583333333,REM,8,23,17,13,13,59,97,12,0,300,4020,20,100,10560,8,89,2640,2072926816,2072909321,17195,4.86
2025-09-08,3,5,Awake,8,23,17,13,13,59,97,12,0,300,4020,20,100,10560,8,89,2640,2072926816,2072909321,17195,4.86
2025-09-09,0,105,Deep,7,24,16,15,15,65,95,24,0,300,6300,20,100,14340,10,86,4020,2073009976,2072985016,24660,6.93
