"calendarDate","startGMT","endGMT","activityLevel","key","startTimeGMT","endTimeGMT","startTimeLocal","endTimeLocal"
2025-08-20,"2025-08-20T05:03:40.0","2025-08-20T05:13:40.0",1,1,2025-08-20 05:03:40,2025-08-20 05:13:40,2025-08-20 01:03:40,2025-08-20 01:13:40
2025-08-20,"2025-08-20T05:13:40.0","2025-08-20T05:44:40.0",0,2,2025-08-20 05:13:40,2025-08-20 05:44:40,2025-08-20 01:13:40,2025-08-20 01:44:40
2025-08-20,"2025-08-20T05:44:40.0","2025-08-20T05:45:40.0",3,3,2025-08-20 05:44:40,2025-08-20 05:45:40,2025-08-20 01:44:40,2025-08-20 01:45:40
2025-08-20,"2025-08-20T05:45:40.0","2025-08-20T06:00:40.0",1,4,2025-08-20 05:45:40,2025-08-20 06:00:40,2025-08-20 01:45:40,2025-08-20 02:00:40
2025-08-20,"2025-08-20T06:00:40.0","2025-08-20T06:18:40.0",0,5,2025-08-20 06:00:40,2025-08-20 06:18:40,2025-08-20 02:00:40,2025-08-20 02:18:40
2025-08-20,"2025-08-20T06:18:40.0","2025-08-20T06:58:40.0",1,6,2025-08-20 06:18:40,2025-08-20 06:58:40,2025-08-20 02:18:40,2025-08-20 02:58:40
2025-08-20,"2025-08-20T06:58:40.0","2025-08-20T07:10:40.0",2,7,2025-08-20 06:58:40,2025-08-20 07:10:40,2025-08-20 02:58:40,2025-08-20 03:10:40
2025-08-20,"2025-08-20T07:10:40.0","2025-08-20T07:30:40.0",1,8,2025-08-20 07:10:40,2025-08-20 07:30:40,2025-08-20 03:10:40,2025-08-20 03:30:40
2025-08-20,"2025-08-20T07:30:40.0","2025-08-20T07:38:40.0",0,9,2025-08-20 07:30:40,2025-08-20 07:38:40,2025-08-20 03:30:40,2025-08-20 03:38:40
2025-08-20,"2025-08-20T07:38:40.0","2025-08-20T07:58:40.0",1,10,2025-08-20 07:38:40,2025-08-20 07:58:40,2025-08-20 03:38:40,2025-08-20 03:58:40
2025-08-20,"2025-08-20T07:58:40.0","2025-08-20T08:05:40.0",3,11,2025-08-20 07:58:40,2025-08-20 08:05:40,2025-08-20 03:58:40,2025-08-20 04:05:40
2025-08-20,"2025-08-20T08:05:40.0","2025-08-20T08:18:40.0",1,12,2025-08-20 08:05:40,2025-08-20 08:18:40,2025-08-20 04:05:40,2025-08-20 04:18:40
2025-08-20,"2025-08-20T08:18:40.0","2025-08-20T08:46:40.0",0,13,2025-08-20 08:18:40,2025-08-20 08:46:40,2025-08-20 04:18:40,2025-08-20 04:46:40
2025-08-20,"2025-08-20T08:46:40.0","2025-08-20T09:05:40.0",1,14,2025-08-20 08:46:40,2025-08-20 09:05:40,2025-08-20 04:46:40,2025-08-20 05:05:40
2025-08-20,"2025-08-20T09:05:40.0","2025-08-20T09:12:40.0",2,15,2025-08-20 09:05:40,2025-08-20 09:12:40,2025-08-20 05:05:40,2025-08-20 05:12:40
2025-08-20,"2025-08-20T09:12:40.0","2025-08-20T09:51:40.0",1,16,2025-08-20 09:12:40,2025-08-20 09:51:40,2025-08-20 05:12:40,2025-08-20 05:51:40
2025-08-20,"2025-08-20T09:51:40.0","2025-08-20T10:01:40.0",2,17,2025-08-20 09:51:40,2025-08-20 10:01:40,2025-08-20 05:51:40,2025-08-20 06:01:40
2025-08-20,"2025-08-20T10:01:40.0","2025-08-20T10:50:40.0",1,18,2025-08-20 10:01:40,2025-08-20 10:50:40,2025-08-20 06:01:40,2025-08-20 06:50:40
2025-08-20,"2025-08-20T10:50:40.0","2025-08-20T11:14:40.0",2,19,2025-08-20 10:50:40,2025-08-20 11:14:40,2025-08-20 06:50:40,2025-08-20 07:14:40
2025-08-20,"2025-08-20T11:14:40.0","2025-08-20T11:44:40.0",1,20,2025-08-20 11:14:40,2025-08-20 11:44:40,2025-08-20 07:14:40,2025-08-20 07:44:40
2025-08-21,"2025-08-21T04:38:17.0","2025-08-21T04:47:17.0",1,1,2025-08-21 04:38:17,2025-08-21 04:47:17,2025-08-21 00:38:17,2025-08-21 00:47:17
2025-08-21,"2025-08-21T04:47:17.0","2025-08-21T05:47:17.0",0,2,2025-08-21 04:47:17,2025-08-21 05:47:17,2025-08-21 00:47:17,2025-08-21 01:47:17
2025-08-21,"2025-08-21T05:47:17.0","2025-08-21T06:15:17.0",1,3,2025-08-21 05:47:17,2025-08-21 06:15:17,2025-08-21 01:47:17,2025-08-21 02:15:17
2025-08-21,"2025-08-21T06:15:17.0","2025-08-21T06:36:17.0",3,4,2025-08-21 06:15:17,2025-08-21 06:36:17,2025-08-21 02:15:17,2025-08-21 02:36:17
2025-08-21,"2025-08-21T06:36:17.0","2025-08-21T06:54:17.0",1,5,2025-08-21 06:36:17,2025-08-21 06:54:17,2025-08-21 02:36:17,2025-08-21 02:54:17
2025-08-21,"2025-08-21T06:54:17.0","2025-08-21T07:34:17.0",0,6,2025-08-21 06:54:17,2025-08-21 07:34:17,2025-08-21 02:54:17,2025-08-21 03:34:17
2025-08-21,"2025-08-21T07:34:17.0","2025-08-21T08:37:17.0",1,7,2025-08-21 07:34:17,2025-08-21 08:37:17,2025-08-21 03:34:17,2025-08-21 04:37:17
2025-08-21,"2025-08-21T08:37:17.0","2025-08-21T08:48:17.0",0,8,2025-08-21 08:37:17,2025-08-21 08:48:17,2025-08-21 04:37:17,2025-08-21 04:48:17
2025-08-21,"2025-08-21T08:48:17.0","2025-08-21T09:45:17.0",1,9,2025-08-21 08:48:17,2025-08-21 09:45:17,2025-08-21 04:48:17,2025-08-21 05:45:17
2025-08-21,"2025-08-21T09:45:17.0","2025-08-21T09:48:17.0",3,10,2025-08-21 09:45:17,2025-08-21 09:48:17,2025-08-21 05:45:17,2025-08-21 05:48:17
2025-08-21,"2025-08-21T09:48:17.0","2025-08-21T10:07:17.0",1,11,2025-08-21 09:48:17,2025-08-21 10:07:17,2025-08-21 05:48:17,2025-08-21 06:07:17
2025-08-21,"2025-08-21T10:07:17.0","2025-08-21T10:17:17.0",0,12,2025-08-21 10:07:17,2025-08-21 10:17:17,2025-08-21 06:07:17,2025-08-21 06:17:17
2025-08-21,"2025-08-21T10:17:17.0","2025-08-21T10:41:17.0",1,13,2025-08-21 10:17:17,2025-08-21 10:41:17,2025-08-21 06:17:17,2025-08-21 06:41:17
2025-08-21,"2025-08-21T10:41:17.0","2025-08-21T10:49:17.0",2,14,2025-08-21 10:41:17,2025-08-21 10:49:17,2025-08-21 06:41:17,2025-08-21 06:49:17
2025-08-21,"2025-08-21T10:49:17.0","2025-08-21T11:07:17.0",1,15,2025-08-21 10:49:17,2025-08-21 11:07:17,2025-08-21 06:49:17,2025-08-21 07:07:17
