"calendarDate","maxHeartRate","minHeartRate","restingHeartRate","lastSevenDaysAvgRestingHeartRate"
2025-08-20,124,51,52,62
2025-08-21,107,57,59,61
2025-08-22,177,51,52,59
2025-08-23,112,55,56,58
2025-08-24,118,55,58,58
2025-08-25,92,52,54,58
2025-08-26,185,54,57,55
2025-08-27,181,54,56,56
2025-08-28,108,53,56,56
2025-08-29,159,62,60,57
2025-08-30,106,51,53,56
2025-08-31,107,54,57,56
2025-09-01,114,53,54,56
2025-09-02,96,54,55,56
2025-09-03,102,57,58,56
2025-09-04,105,54,56,56
2025-09-05,101,52,54,55
2025-09-06,162,53,56,56
2025-09-07,103,59,60,56
2025-09-08,98,53,55,56
2025-09-09,105,55,56,56
2025-09-10,106,52,53,56
2025-09-11,107,57,55,56
2025-09-12,122,55,59,56
2025-09-13,111,53,57,56
2025-09-14,108,52,54,56
2025-09-15,100,56,58,56
2025-09-16,107,54,58,56
2025-09-17,103,51,53,56
2025-09-18,115,59,60,57
2025-09-19,94,55,56,57
2025-09-20,99,53,55,56
2025-09-21,110,54,57,57
2025-09-22,113,56,61,57
2025-09-23,105,55,57,57
2025-09-24,106,67,69,59
2025-09-25,117,56,59,59
2025-09-26,117,52,58,59
2025-09-27,113,58,60,60
2025-09-28,102,50,57,60
2025-09-29,104,53,54,59
2025-09-30,106,55,57,59
2025-10-01,97,54,55,57
2025-10-02,107,54,55,57
2025-10-03,123,57,60,57
2025-10-04,153,59,60,57
2025-10-05,116,58,61,57
2025-10-06,105,56,57,58
2025-10-07,113,52,54,57
2025-10-08,91,63,62,58
