"hrvValue","readingTimeGMT","readingTimeLocal","calendarDate","colorFlag"
29,2025-08-20 05:07:40,2025-08-20 01:07:40,2025-08-20,"Significant"
28,2025-08-20 05:12:40,2025-08-20 01:12:40,2025-08-20,"Significant"
26,2025-08-20 05:17:40,2025-08-20 01:17:40,2025-08-20,"Significant"
28,2025-08-20 05:22:40,2025-08-20 01:22:40,2025-08-20,"Significant"
41,2025-08-20 05:27:40,2025-08-20 01:27:40,2025-08-20,"Significant"
41,2025-08-20 05:32:40,2025-08-20 01:32:40,2025-08-20,"Significant"
29,2025-08-20 05:37:40,2025-08-20 01:37:40,2025-08-20,"Significant"
28,2025-08-20 05:42:40,2025-08-20 01:42:40,2025-08-20,"Significant"
51,2025-08-20 05:47:40,2025-08-20 01:47:40,2025-08-20,"Significant"
49,2025-08-20 05:52:40,2025-08-20 01:52:40,2025-08-20,"Significant"
46,2025-08-20 05:57:40,2025-08-20 01:57:40,2025-08-20,"Significant"
41,2025-08-20 06:02:40,2025-08-20 02:02:40,2025-08-20,"Significant"
40,2025-08-20 06:07:40,2025-08-20 02:07:40,2025-08-20,"Significant"
42,2025-08-20 06:12:40,2025-08-20 02:12:40,2025-08-20,"Significant"
42,2025-08-20 06:17:40,2025-08-20 02:17:40,2025-08-20,"Significant"
57,2025-08-20 06:22:40,2025-08-20 02:22:40,2025-08-20,"Significant"
38,2025-08-20 06:27:40,2025-08-20 02:27:40,2025-08-20,"Significant"
35,2025-08-20 06:32:40,2025-08-20 02:32:40,2025-08-20,"Significant"
22,2025-08-20 06:37:40,2025-08-20 02:37:40,2025-08-20,"Significant"
24,2025-08-20 06:42:40,2025-08-20 02:42:40,2025-08-20,"Significant"
22,2025-08-20 06:47:40,2025-08-20 02:47:40,2025-08-20,"Significant"
18,2025-08-20 06:52:40,2025-08-20 02:52:40,2025-08-20,"Significant"
24,2025-08-20 06:57:40,2025-08-20 02:57:40,2025-08-20,"Significant"
30,2025-08-20 07:02:40,2025-08-20 03:02:40,2025-08-20,"Significant"
23,2025-08-20 07:07:40,2025-08-20 03:07:40,2025-08-20,"Significant"
24,2025-08-20 07:12:40,2025-08-20 03:12:40,2025-08-20,"Significant"
20,2025-08-20 07:17:40,2025-08-20 03:17:40,2025-08-20,"Significant"
28,2025-08-20 07:22:40,2025-08-20 03:22:40,2025-08-20,"Significant"
20,2025-08-20 07:27:40,2025-08-20 03:27:40,2025-08-20,"Significant"
18,2025-08-20 07:32:40,2025-08-20 03:32:40,2025-08-20,"Significant"
21,2025-08-20 07:37:40,2025-08-20 03:37:40,2025-08-20,"Significant"
22,2025-08-20 07:42:40,2025-08-20 03:42:40,2025-08-20,"Significant"
27,2025-08-20 07:47:40,2025-08-20 03:47:40,2025-08-20,"Significant"
37,2025-08-20 07:52:40,2025-08-20 03:52:40,2025-08-20,"Significant"
28,2025-08-20 07:57:40,2025-08-20 03:57:40,2025-08-20,"Significant"
28,2025-08-20 08:02:40,2025-08-20 04:02:40,2025-08-20,"Significant"
31,2025-08-20 08:07:40,2025-08-20 04:07:40,2025-08-20,"Significant"
29,2025-08-20 08:12:40,2025-08-20 04:12:40,2025-08-20,"Significant"
27,2025-08-20 08:17:40,2025-08-20 04:17:40,2025-08-20,"Significant"
25,2025-08-20 08:22:40,2025-08-20 04:22:40,2025-08-20,"Significant"
27,2025-08-20 08:27:40,2025-08-20 04:27:40,2025-08-20,"Significant"
28,2025-08-20 08:32:40,2025-08-20 04:32:40,2025-08-20,"Significant"
23,2025-08-20 08:37:40,2025-08-20 04:37:40,2025-08-20,"Significant"
21,2025-08-20 08:42:40,2025-08-20 04:42:40,2025-08-20,"Significant"
24,2025-08-20 08:47:40,2025-08-20 04:47:40,2025-08-20,"Significant"
33,2025-08-20 08:52:40,2025-08-20 04:52:40,2025-08-20,"Significant"
30,2025-08-20 08:57:40,2025-08-20 04:57:40,2025-08-20,"Significant"
29,2025-08-20 09:02:40,2025-08-20 05:02:40,2025-08-20,"Significant"
27,2025-08-20 09:07:40,2025-08-20 05:07:40,2025-08-20,"Significant"
23,2025-08-20 09:12:40,2025-08-20 05:12:40,2025-08-20,"Significant"
32,2025-08-20 09:17:40,2025-08-20 05:17:40,2025-08-20,"Significant"
33,2025-08-20 09:22:40,2025-08-20 05:22:40,2025-08-20,"Significant"
35,2025-08-20 09:27:40,2025-08-20 05:27:40,2025-08-20,"Significant"
35,2025-08-20 09:32:40,2025-08-20 05:32:40,2025-08-20,"Significant"
37,2025-08-20 09:37:40,2025-08-20 05:37:40,2025-08-20,"Significant"
31,2025-08-20 09:42:40,2025-08-20 05:42:40,2025-08-20,"Significant"
34,2025-08-20 09:47:40,2025-08-20 05:47:40,2025-08-20,"Significant"
29,2025-08-20 09:52:40,2025-08-20 05:52:40,2025-08-20,"Significant"
26,2025-08-20 09:57:40,2025-08-20 05:57:40,2025-08-20,"Significant"
25,2025-08-20 10:02:40,2025-08-20 06:02:40,2025-08-20,"Significant"
36,2025-08-20 10:07:40,2025-08-20 06:07:40,2025-08-20,"Significant"
37,2025-08-20 10:12:40,2025-08-20 06:12:40,2025-08-20,"Significant"
31,2025-08-20 10:17:40,2025-08-20 06:17:40,2025-08-20,"Significant"
20,2025-08-20 10:22:40,2025-08-20 06:22:40,2025-08-20,"Significant"
19,2025-08-20 10:27:40,2025-08-20 06:27:40,2025-08-20,"Significant"
21,2025-08-20 10:32:40,2025-08-20 06:32:40,2025-08-20,"Significant"
36,2025-08-20 10:37:40,2025-08-20 06:37:40,2025-08-20,"Significant"
41,2025-08-20 10:42:40,2025-08-20 06:42:40,2025-08-20,"Significant"
28,2025-08-20 10:47:40,2025-08-20 06:47:40,2025-08-20,"Significant"
34,2025-08-20 10:52:40,2025-08-20 06:52:40,2025-08-20,"Significant"
31,2025-08-20 10:57:40,2025-08-20 06:57:40,2025-08-20,"Significant"
30,2025-08-20 11:02:40,2025-08-20 07:02:40,2025-08-20,"Significant"
31,2025-08-20 11:07:40,2025-08-20 07:07:40,2025-08-20,"Significant"
23,2025-08-20 11:12:40,2025-08-20 07:12:40,2025-08-20,"Significant"
31,2025-08-20 11:17:40,2025-08-20 07:17:40,2025-08-20,"Significant"
31,2025-08-20 11:22:40,2025-08-20 07:22:40,2025-08-20,"Significant"
41,2025-08-20 11:27:40,2025-08-20 07:27:40,2025-08-20,"Significant"
37,2025-08-20 11:32:40,2025-08-20 07:32:40,2025-08-20,"Significant"
33,2025-08-20 11:37:40,2025-08-20 07:37:40,2025-08-20,"Significant"
29,2025-08-20 11:42:40,2025-08-20 07:42:40,2025-08-20,"Significant"
31,2025-08-21 04:41:37,2025-08-21 00:41:37,2025-08-21,"Significant"
28,2025-08-21 04:46:37,2025-08-21 00:46:37,2025-08-21,"Significant"
23,2025-08-21 04:51:37,2025-08-21 00:51:37,2025-08-21,"Significant"
20,2025-08-21 04:56:37,2025-08-21 00:56:37,2025-08-21,"Significant"
20,2025-08-21 05:01:37,2025-08-21 01:01:37,2025-08-21,"Significant"
22,2025-08-21 05:06:37,2025-08-21 01:06:37,2025-08-21,"Significant"
20,2025-08-21 05:11:37,2025-08-21 01:11:37,2025-08-21,"Significant"
20,2025-08-21 05:16:37,2025-08-21 01:16:37,2025-08-21,"Significant"
19,2025-08-21 05:21:37,2025-08-21 01:21:37,2025-08-21,"Significant"
19,2025-08-21 05:26:37,2025-08-21 01:26:37,2025-08-21,"Significant"
22,2025-08-21 05:31:37,2025-08-21 01:31:37,2025-08-21,"Significant"
20,2025-08-21 05:36:37,2025-08-21 01:36:37,2025-08-21,"Significant"
21,2025-08-21 05:41:37,2025-08-21 01:41:37,2025-08-21,"Significant"
19,2025-08-21 05:46:37,2025-08-21 01:46:37,2025-08-21,"Significant"
23,2025-08-21 05:51:37,2025-08-21 01:51:37,2025-08-21,"Significant"
29,2025-08-21 05:56:37,2025-08-21 01:56:37,2025-08-21,"Significant"
29,2025-08-21 06:01:37,2025-08-21 02:01:37,2025-08-21,"Significant"
29,2025-08-21 06:06:37,2025-08-21 02:06:37,2025-08-21,"Significant"
28,2025-08-21 06:11:37,2025-08-21 02:11:37,2025-08-21,"Significant"
36,2025-08-21 06:16:37,2025-08-21 02:16:37,2025-08-21,"Significant"
63,2025-08-21 06:21:37,2025-08-21 02:21:37,2025-08-21,"Significant"
32,2025-08-21 06:26:37,2025-08-21 02:26:37,2025-08-21,"Significant"
31,2025-08-21 06:31:37,2025-08-21 02:31:37,2025-08-21,"Significant"
28,2025-08-21 06:36:37,2025-08-21 02:36:37,2025-08-21,"Significant"
29,2025-08-21 06:41:37,2025-08-21 02:41:37,2025-08-21,"Significant"
26,2025-08-21 06:46:37,2025-08-21 02:46:37,2025-08-21,"Significant"
28,2025-08-21 06:51:37,2025-08-21 02:51:37,2025-08-21,"Significant"
26,2025-08-21 06:56:37,2025-08-21 02:56:37,2025-08-21,"Significant"
24,2025-08-21 07:01:37,2025-08-21 03:01:37,2025-08-21,"Significant"
22,2025-08-21 07:06:37,2025-08-21 03:06:37,2025-08-21,"Significant"
21,2025-08-21 07:11:37,2025-08-21 03:11:37,2025-08-21,"Significant"
23,2025-08-21 07:16:37,2025-08-21 03:16:37,2025-08-21,"Significant"
21,2025-08-21 07:21:37,2025-08-21 03:21:37,2025-08-21,"Significant"
