"CalendarDate","calendarDate","sleepTimeSeconds","sleepStartTimestampGMT","sleepEndTimestampGMT","unmeasurableSleepSeconds","deepSleepSeconds","lightSleepSeconds","remSleepSeconds","awakeSleepSeconds","averageSpO2Value","lowestSpO2Value","highestSpO2Value","averageSpO2HRSleep","averageRespirationValue","lowestRespirationValue","highestRespirationValue","awakeCount","avgSleepStress"
2025-08-20,"2025-08-20",23580,2025-08-20 01:03:40,2025-08-20 07:44:40,0,5100,15300,3180,480,95,85,100,58,13,11,15,1,15
2025-08-21,"2025-08-21",23640,2025-08-21 00:38:17,2025-08-21 07:40:17,0,7260,15900,480,1680,94,81,99,64,17,11,22,1,25
2025-08-22,"2025-08-22",24082,2025-08-22 00:54:54,2025-08-22 07:36:16,0,1620,18060,4440,0,NA,NA,NA,NA,16,12,20,0,25
2025-08-23,"2025-08-23",28800,2025-08-23 00:38:11,2025-08-23 08:39:11,0,6540,15660,6600,60,NA,NA,NA,NA,15,11,20,0,23
2025-08-24,"2025-08-24",23220,2025-08-24 01:10:39,2025-08-24 07:55:39,0,3060,16620,3540,1080,NA,NA,NA,NA,16,12,20,1,36
2025-08-25,"2025-08-25",19500,2025-08-25 00:52:18,2025-08-25 06:18:18,0,3840,11640,4020,60,NA,NA,NA,NA,16,13,22,0,22
2025-08-26,"2025-08-26",19454,2025-08-25 23:54:29,2025-08-26 05:47:43,0,6420,11460,1620,1740,NA,NA,NA,NA,15,11,23,1,20
2025-08-27,"2025-08-27",27720,2025-08-27 01:58:04,2025-08-27 10:35:04,0,5520,19140,3060,3300,NA,NA,NA,NA,14,7,21,4,15
2025-08-28,"2025-08-28",21000,2025-08-28 00:18:24,2025-08-28 06:40:24,0,4920,14580,1500,1920,NA,NA,NA,NA,15,7,19,2,17
2025-08-29,"2025-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-08-30,"2025-08-30",24120,2025-08-30 02:16:14,2025-08-30 09:07:14,0,6240,12120,5760,540,NA,NA,NA,NA,16,10,21,1,18
2025-08-31,"2025-08-31",14820,2025-08-31 01:21:55,2025-08-31 05:38:55,0,5280,8640,900,600,NA,NA,NA,NA,14,10,19,0,18
2025-09-01,"2025-09-01",26700,2025-09-01 00:43:58,2025-09-01 08:21:58,0,6240,17340,3120,780,NA,NA,NA,NA,14,9,19,1,14
2025-09-02,"2025-09-02",20760,2025-09-01 21:41:59,2025-09-02 03:27:59,0,5580,12240,2940,0,NA,NA,NA,NA,15,11,21,0,16
2025-09-03,"2025-09-03",33480,2025-09-02 22:09:14,2025-09-03 07:32:14,0,5820,22740,4920,300,NA,NA,NA,NA,15,11,23,0,22
2025-09-04,"2025-09-04",32393,2025-09-03 20:53:35,2025-09-04 07:48:28,0,3900,25740,2760,6900,NA,NA,NA,NA,16,10,23,4,31
2025-09-05,"2025-09-05",24900,2025-09-04 23:03:56,2025-09-05 05:59:56,0,4080,16320,4500,60,94,87,100,62,14,11,19,0,20
2025-09-06,"2025-09-06",20700,2025-09-06 02:43:05,2025-09-06 08:43:05,0,3780,11640,5280,900,95,87,99,59,14,11,20,1,21
2025-09-07,"2025-09-07",28680,2025-09-06 22:25:05,2025-09-07 07:32:05,0,4740,20820,3120,4140,96,89,100,66,15,9,20,1,37
2025-09-08,"2025-09-08",17195,2025-09-08 00:08:41,2025-09-08 05:00:16,0,4020,10560,2640,300,97,89,100,59,13,8,20,0,12
2025-09-09,"2025-09-09",24660,2025-09-08 21:10:16,2025-09-09 04:06:16,0,6300,14340,4020,300,95,86,100,65,15,10,20,0,24
2025-09-10,"2025-09-10",31020,2025-09-09 20:54:56,2025-09-10 06:44:56,720,5580,21780,3660,3660,95,91,100,61,14,8,19,2,20
2025-09-11,"2025-09-11",19980,2025-09-10 21:25:57,2025-09-11 03:39:57,0,3300,13860,2820,2460,95,83,100,61,14,9,21,2,19
2025-09-12,"2025-09-12",29820,2025-09-11 22:19:41,2025-09-12 06:36:41,0,4140,20040,5640,0,95,87,100,63,14,11,20,0,23
2025-09-13,"2025-09-13",21420,2025-09-12 23:29:03,2025-09-13 06:01:03,0,6480,13560,1380,2100,97,89,100,67,16,11,22,2,32
2025-09-14,"2025-09-14",22860,2025-09-13 22:35:04,2025-09-14 04:56:04,0,7980,11040,3840,0,96,85,100,65,16,10,22,0,22
2025-09-15,"2025-09-15",26160,2025-09-14 23:01:12,2025-09-15 07:22:12,0,5880,17520,2760,3900,94,85,99,65,16,10,23,1,24
2025-09-16,"2025-09-16",22792,2025-09-15 23:42:14,2025-09-16 06:24:06,0,8220,13500,1080,1320,95,81,100,61,16,11,21,1,17
2025-09-17,"2025-09-17",25860,2025-09-16 22:51:06,2025-09-17 06:13:06,0,4320,18900,2640,660,94,79,99,58,14,10,20,1,14
2025-09-18,"2025-09-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-09-19,"2025-09-19",19380,2025-09-18 23:11:37,2025-09-19 05:20:37,0,3360,10260,5760,2760,93,84,100,61,16,11,22,2,24
2025-09-20,"2025-09-20",19020,2025-09-20 00:49:01,2025-09-20 06:06:01,0,5640,9660,3720,0,97,90,100,60,16,11,20,0,20
2025-09-21,"2025-09-21",28800,2025-09-20 23:58:37,2025-09-21 08:42:37,0,7620,18540,2640,2640,92,83,100,64,15,11,21,3,23
2025-09-22,"2025-09-22",16161,2025-09-21 21:59:37,2025-09-22 02:28:58,0,6600,8220,1380,0,94,86,98,65,18,12,24,0,37
2025-09-23,"2025-09-23",24000,2025-09-22 22:14:36,2025-09-23 05:10:36,0,5100,13740,5160,960,94,84,97,63,15,11,22,1,22
2025-09-24,"2025-09-24",22140,2025-09-23 23:31:36,2025-09-24 06:47:36,0,3120,16440,2580,4020,95,82,100,75,19,14,23,4,54
2025-09-25,"2025-09-25",24960,2025-09-24 23:43:46,2025-09-25 06:39:46,0,6720,17820,420,0,95,88,99,67,19,13,23,0,23
2025-09-26,"2025-09-26",20220,2025-09-25 23:12:36,2025-09-26 04:56:36,0,5100,14520,600,420,96,84,100,69,18,14,23,0,35
2025-09-27,"2025-09-27",23100,2025-09-27 01:48:20,2025-09-27 08:23:20,0,4260,15180,3660,600,96,88,100,64,14,11,23,1,21
2025-09-28,"2025-09-28",25140,2025-09-28 00:59:22,2025-09-28 07:58:22,0,3900,17700,3540,0,96,90,98,65,16,11,23,0,25
2025-09-29,"2025-09-29",20920,2025-09-29 01:00:47,2025-09-29 06:49:27,0,7080,11520,2340,0,97,87,100,57,13,9,18,0,18
2025-09-30,"2025-09-30",17820,2025-09-29 22:39:27,2025-09-30 03:41:27,0,7560,6060,4200,300,97,84,100,62,16,12,20,0,22
2025-10-01,"2025-10-01",31260,2025-09-30 21:42:34,2025-10-01 07:23:34,0,9420,19500,2340,3600,97,84,100,65,16,11,22,2,27
2025-10-02,"2025-10-02",25320,2025-10-01 22:25:02,2025-10-02 05:38:02,0,7200,14280,3840,660,96,90,100,59,16,11,21,1,16
2025-10-03,"2025-10-03",23940,2025-10-02 23:10:43,2025-10-03 06:36:43,0,5940,15600,2400,2820,96,88,98,73,17,11,23,1,49
2025-10-04,"2025-10-04",28080,2025-10-03 23:36:44,2025-10-04 07:32:44,0,5760,18360,3960,480,97,93,100,70,17,11,23,1,30
2025-10-05,"2025-10-05",28680,2025-10-04 23:49:09,2025-10-05 08:05:09,0,5340,23340,0,1080,98,85,100,68,15,10,19,1,17
2025-10-06,"2025-10-06",24682,2025-10-05 23:30:07,2025-10-06 06:30:29,0,3240,20700,780,540,98,89,100,65,16,10,20,1,26
